"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.622908100E2,6.504372570E1,2.557465385E1,2.682104476E1,1.429999948E0,3.287000122E2,3.790092468E0,2.500000000E0
1.632913812E2,6.504373641E1,2.557463909E1,2.686279100E1,1.370000005E0,3.322999878E2,3.790092468E0,2.500000000E0
1.642914492E2,6.504374746E1,2.557462295E1,2.689867789E1,1.440000057E0,3.307000122E2,3.790092468E0,2.500000000E0
1.652914352E2,6.504375771E1,2.557460364E1,2.697094225E1,1.480000019E0,3.267999878E2,3.790092468E0,2.500000000E0
1.662914429E2,6.504376929E1,2.557458744E1,2.689617225E1,1.450000048E0,3.382999878E2,3.790092468E0,2.500000000E0
1.672909223E2,6.504378023E1,2.557456917E1,2.694103153E1,1.460000038E0,3.250000000E2,3.790092468E0,2.500000000E0
1.682911245E2,6.504379080E1,2.557454968E1,2.727049797E1,1.429999948E0,3.296000061E2,3.790092468E0,2.500000000E0
1.692907723E2,6.504380090E1,2.557453053E1,2.720000113E1,1.440000057E0,3.260000000E2,3.790092468E0,2.500000000E0
1.702908404E2,6.504381094E1,2.557451294E1,2.745787331E1,1.440000057E0,3.320000000E2,3.790092468E0,2.500000000E0
1.712906681E2,6.504382058E1,2.557449322E1,2.725590694E1,1.440000057E0,3.230000000E2,3.790092468E0,2.500000000E0
1.722907296E2,6.504383036E1,2.557447207E1,2.741111839E1,1.440000057E0,3.252000122E2,3.790092468E0,2.500000000E0
1.732908777E2,6.504384045E1,2.557445242E1,2.758647121E1,1.440000057E0,3.251000061E2,3.790092468E0,2.500000000E0
1.742909269E2,6.504385194E1,2.557443468E1,2.778507783E1,1.470000029E0,3.353999939E2,3.790092468E0,2.500000000E0
1.752909237E2,6.504386334E1,2.557441835E1,2.749131375E1,1.460000038E0,3.298999939E2,3.790092468E0,2.500000000E0
1.762905844E2,6.504387453E1,2.557440238E1,2.747129238E1,1.470000029E0,3.232999878E2,3.790092468E0,2.500000000E0
